ProductName,Stars,Current_Price,MRP,Proccessor,Ram,Storage,ImageURL,Company
HP Victus Ryzen 5 Hexa Core 5600H,5.0,59990,76021,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/l/e/k/15-fb0040ax-gaming-laptop-hp-original-imaggyuezf9qtypd.jpeg?q=70,HP
ASUS VivoBook 14 (2022) Core i3 12th Gen,4.1,47990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/b/w/-original-imagg6t9sb9gvafu.jpeg?q=70,ASUS
ASUS VivoBook Flip 14 Core i3 11th Gen,4.0,49990,69990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/computer/p/q/q/-original-imageuecysr3cuca.jpeg?q=70,ASUS
DELL Inspiron Ryzen 3 Dual Core 3250U,4.3,41190,54435,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1mh7rk0/computer/z/t/0/inspiron-3515-notebook-dell-original-imagd5jzfjyuze5g.jpeg?q=70,DELL
HP Laptop with Backlit Keyboard Core i3 11th Gen,4.4,43499,51724,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/z/u/15s-fr2512tu-laptop-hp-original-imaggmeygbtemggf.jpeg?q=70,HP
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/1/w/14iil05-thin-and-light-laptop-lenovo-original-imagkwgzvknngbfu.jpeg?q=70,Lenovo
ASUS Core i3 12th Gen,3.9,44990,54990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/b/w/-original-imagg6t9sb9gvafu.jpeg?q=70,ASUS
ASUS VivoBook Ultra Ryzen 7 Octa Core AMD R7,4.3,57990,84990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/j/u/asus-original-imaftndwqbqznkju.jpeg?q=70,ASUS
Lenovo Ideapad Slim 3 Core i3 10th Gen,4.4,35990,61490,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,Lenovo
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,realme
DELL Ryzen 3 Quad Core 5425U,4.4,41490,56834,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),RAM & Storage: 8GB DDR4 & 512GB SSD,Software: Win 11 + Office H&S 2021,https://rukminim1.flixcart.com/image/312/312/l45xea80/computer/m/q/7/vostro-3425-thin-and-light-laptop-dell-original-imagf4mth22ydgqs.jpeg?q=70,DELL
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,4.4,64990,93690,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70,Lenovo
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.4,42990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70,ASUS
ASUS VivoBook Flip 14 Core i5 11th Gen,4.8,63990,82990,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/computer/p/q/q/-original-imageuecysr3cuca.jpeg?q=70,ASUS
ASUS Chromebook Flip Touch Celeron Dual Core,4.0,15990,31990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,29.46 cm (11.6 inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/s/z/n/-original-imagg3fxfrttfgvj.jpeg?q=70,ASUS
ASUS Ryzen 5 Hexa Core,4.6,54990,72994,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/6/x/f/vivobook-pro-laptop-asus-original-imaggur3mgfbjmnf.jpeg?q=70,ASUS
DELL Inspiron Pentium Silver,4.1,32000,44319,Processor: Intel PQC-N5030 (1.10 GHz up to 3.10 GHz),RAM & Storage: 8GB DDR4 & 256GB SSD,Software: Win 11 + Office H&S 2021,https://rukminim1.flixcart.com/image/312/312/l1dwknk0/computer/3/w/s/inspiron-3521-notebook-dell-original-imagcyrhxaybghra.jpeg?q=70,DELL
ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7,4.5,65990,88990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/r/u/y/-original-imaghrfjvmz5eqwj.jpeg?q=70,ASUS
DELL Inspiron Core i3 12th Gen,3.8,61390,78145,Processor: Intel i3-1215U (0.9 GHz up to 4.40 GHz), 6 Cores, 10MB CPU Cache,RAM & Storage: 8GB,DELL
DELL Inspiron Core i3 11th Gen,4.2,40990,57245,Processor-i3-1115G4 Processor upto 4.1 GHz Speed,RAM & Storage: 8GB DDR4, 256GB SSD, WIN 11 + Office H&S 2021,DELL
Lenovo IdeaPad Slim 5 Ryzen 7 Hexa Core 5700U,0.0,65990,93690,AMD Ryzen 7 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/w/s/t/82ln00jsin-thin-and-light-laptop-lenovo-original-imagj2gxqv9zxpns.jpeg?q=70,Lenovo
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,40990,59390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70,Lenovo
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,48990,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/2/3/5/-original-imagg5hhjunrv4e4.jpeg?q=70,Lenovo
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U,4.2,37990,54490,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4vnbm80/computer/i/f/f/15ada7-thin-and-light-laptop-lenovo-original-imagfzzxmhfgzysy.jpeg?q=70,Lenovo
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,48990,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/2/3/5/-original-imagg5hhjunrv4e4.jpeg?q=70,Lenovo
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U,4.2,37990,54490,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4vnbm80/computer/i/f/f/15ada7-thin-and-light-laptop-lenovo-original-imagfzzxmhfgzysy.jpeg?q=70,Lenovo
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/1/w/14iil05-thin-and-light-laptop-lenovo-original-imagkwgzvknngbfu.jpeg?q=70,Lenovo
ASUS Vivobook 14 Core i5 10th Gen,3.5,49490,73990,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5jxt3k0/computer/o/t/v/vivobook-notebook-asus-original-imagg763qstjsura.jpeg?q=70,ASUS
ASUS Eeebook 14 Pentium Quad Core,0.0,28990,40990,Intel Pentium Quad Core Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/n/c/e410ka-bv101ws-thin-and-light-laptop-asus-original-imaghjyqzfwkenbq.jpeg?q=70,ASUS
ASUS Vivobook 14 (2022) Core i5 12th Gen,5.0,66990,82990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/8/u/o/-original-imagg6t9hc6wubth.jpeg?q=70,ASUS
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,realme
Lenovo V15 G2 Core i5 11th Gen,0.0,49490,81450,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70,Lenovo
DELL Inspiron Ryzen 3 Dual Core 3250U,4.5,36690,52433,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1mh7rk0/computer/e/4/q/inspiron-3525-notebook-dell-original-imagd5k6ykzvkhdc.jpeg?q=70,DELL
ASUS EeeBook 14 with NumberPad Pentium Silver,4.1,27990,40990,Intel Pentium Silver Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/computer/p/t/8/-original-imageuecybhvepfx.jpeg?q=70,ASUS
acer Aspire Ryzen 5 Quad Core 3500U,4.2,35990,54999,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/r/n/g/aspire-3-notebook-acer-original-imagg5aabsmp5rmq.jpeg?q=70,acer
Lenovo Core i3 11th Gen,0.0,38790,58680,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/2/s/v15-g2-itl-laptop-lenovo-original-imagkfncgavpgwtb.jpeg?q=70,Lenovo
acer Extensa 15 Core i3 11th Gen,4.1,32490,44999,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1fc0i80/computer/5/x/c/-original-imagczgszcxeyfgg.jpeg?q=70,acer
DELL Inspiron Ryzen 3 Quad Core 5425U,3.9,44190,56748,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1mh7rk0/computer/e/4/q/inspiron-3525-notebook-dell-original-imagd5k6ykzvkhdc.jpeg?q=70,DELL
ASUS VivoBook 14 (2022) Core i3 12th Gen,4.2,47990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/1/g/-original-imagg6t9hmxg6ndz.jpeg?q=70,ASUS
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,4.3,40990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/j/u/asus-original-imaftndwqbqznkju.jpeg?q=70,ASUS
DELL Vostro Core i3 10th Gen,4.0,41990,54783,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l13whow0/computer/s/e/r/-original-imagcr7j9zvqpjeq.jpeg?q=70,DELL
realme Book (Slim) Core i3 11th Gen,4.4,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB,realme
ASUS Vivobook 14 (2022) Core i3 12th Gen,0.0,49990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/2/t/-original-imagg6t9xpv4rr8v.jpeg?q=70,ASUS
Lenovo IdeaPad 3 Core i5 11th Gen,4.2,55490,71990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70,Lenovo
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.4,55000,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70,ASUS
DELL Core i3 12th Gen,0.0,56749,73735,Processor: Intel i3-1215U (0.9 GHz up to 4.40 GHz), 6 Cores & 10 MB CPU Cache,RAM & Storage: 8GB, 1x8GB,DELL
HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250,4.5,34190,44912,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l48s9zk0/computer/6/z/k/hp-laptop-255-g8-notebook-notebook-hp-original-imagf6hthg9zbxug.jpeg?q=70,HP
ASUS VivoBook Flip 14 Core i3 11th Gen,4.4,44990,66990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/computer/p/q/q/-original-imageuecysr3cuca.jpeg?q=70,ASUS
HP Ryzen 7 Octa Core 5700U,4.0,64990,71766,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/c/p/c/14s-fy1005au-thin-and-light-laptop-hp-original-imagg4dgtu77mzye.jpeg?q=70,HP
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/1/w/14iil05-thin-and-light-laptop-lenovo-original-imagkwgzvknngbfu.jpeg?q=70,Lenovo
HP Ryzen 5 Hexa Core 5500U,4.2,46329,61388,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/k/i/-original-imaggsh8hmh4jmdz.jpeg?q=70,HP
Lenovo Core i3 11th Gen,4.0,40990,90990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/v/r/e/-original-imagg5jspqht3hym.jpeg?q=70,Lenovo
acer Nitro 5 Ryzen 5 Hexa Core 5600H,4.5,63990,95999,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/v/o/an515-45-gaming-laptop-acer-original-imagkfjtgwdetsby.jpeg?q=70,acer
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,realme
DELL Core i3 11th Gen,4.2,60900,73600,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kqb8pzk0/computer/d/j/c/na-2-in-1-laptop-dell-original-imag4dy68bwtg8j9.jpeg?q=70,DELL
DELL Core i3 11th Gen,0.0,45990,58200,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kxkqavk0/computer/9/c/p/na-laptop-dell-original-imagay36gjkzxcnt.jpeg?q=70,DELL
HP 15s Intel Core i3 11th Gen,4.4,39890,47264,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kzrbiq80/computer/v/d/d/15s-fq2626tu-thin-and-light-laptop-hp-original-imagbpb2sztfprgz.jpeg?q=70,HP
ASUS Core i3 10th Gen,4.4,33990,50990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/3/9/x515ja-ej382ws-laptop-asus-original-imaghhwnkafntrrc.jpeg?q=70,ASUS
DELL Vostro Ryzen 3 Dual Core R3,3.8,36400,50651,Processor: AMD Ryzen 3-3250U (2.60 GHz up to 3.50 GHz),RAM & Storage: 8GB DDR4 (2 DIMM Slots) & 1TB HDD,"Display: 14.0"" FHD WVA AG Narrow Border",https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/u/8/s/-original-imagf35ee3xwgkzv.jpeg?q=70,DELL
Lenovo IdeaPad 1 Ryzen 5 Quad Core 3500U,4.2,45490,60090,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4vnbm80/computer/i/f/f/15ada7-thin-and-light-laptop-lenovo-original-imagfzzxmhfgzysy.jpeg?q=70,Lenovo
Lenovo Ideapad AMD Ryzen 5 Hexa Core 5500U,4.5,48990,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kxuqdu80/computer/o/u/j/lenovo-core-i5-laptop-lenovo-original-imaga7u8ehmnfggx.jpeg?q=70,Lenovo
HP Intel Core i3 11th Gen,4.4,40990,45892,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kbqu4cw0/computer/v/r/y/hp-original-imaftyzqzbyerzgt.jpeg?q=70,HP
ASUS Core i3 11th Gen,4.0,33990,44990,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kwgpz0w0/computer/s/x/v/x415ea-ek302ws-laptop-asus-original-imag94tepsgcgrgk.jpeg?q=70,ASUS
DELL Inspiron Core i3 10th Gen,4.4,39890,44634,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ku5ufm80/computer/b/d/a/na-laptop-dell-original-imag7cstg8ebs8gd.jpeg?q=70,DELL
HP Ryzen 7 Octa Core 5700U,4.2,60990,73625,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/knni7ww0/computer/b/w/p/14s-fr0012au-thin-and-light-laptop-hp-original-imag2ad5ppxmujd6.jpeg?q=70,HP
acer Nitro 5 Ryzen 5 Hexa Core 4600H,4.5,61490,99999,Free upgrade to Windows 11 when available,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/kuvkcy80/computer/n/y/n/na-gaming-laptop-acer-original-imag7whp9urft8mf.jpeg?q=70,acer
HP 15s Intel Core i3 11th Gen,4.3,44650,50982,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/s/z/b/-original-imagayc6ahrmg8y7.jpeg?q=70,HP
DELL Core i5 11th Gen,4.2,67990,75826,NVIDIA RTX 3050 Graphics upto 90W TGP,15.6 inch Full HD AG Display (250 nits Brightness, 120Hz, Narrow Border),DELL
ASUS Core i3 12th Gen,3.8,42990,57990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyxb9u80/computer/4/y/0/vivobook-laptop-asus-original-imagbfz5wjzf4bde.jpeg?q=70,ASUS
HP Core i3 11th Gen,0.0,43250,51724,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/r/k/z/15s-fr2512tu-laptop-hp-original-imaggykjf2ggyfgj.jpeg?q=70,HP
ASUS Ryzen 3 Dual Core,0.0,33990,48990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/2/g/vivobook-15-laptop-asus-original-imagggysxrzgu9dq.jpeg?q=70,ASUS
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/1/w/14iil05-thin-and-light-laptop-lenovo-original-imagkwgzvknngbfu.jpeg?q=70,Lenovo
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5,4.1,65990,95790,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70,Lenovo
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,realme
acer Aspire 7 Core i5 12th Gen,4.3,57990,83999,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4oi4cw0/computer/i/n/e/a715-5g-gaming-laptop-acer-original-imagfj2g954wfdyz.jpeg?q=70,acer
DELL Inspiron Core i5 11th Gen,4.1,69890,87600,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kod858w0/computer/g/a/w/na-notebook-dell-original-imag2u9tqt3ychmv.jpeg?q=70,DELL
Lenovo IdeaPad 3 Core i3 11th Gen,0.0,37490,61590,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/z/x/15itl6-thin-and-light-laptop-lenovo-original-imagheh5ruph5rpv.jpeg?q=70,Lenovo
DELL Inspiron Core i5 12th Gen,0.0,65390,85751,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1fc0i80/computer/9/5/r/inspiron-3525-thin-and-light-laptop-dell-original-imagczzfezyd7tqs.jpeg?q=70,DELL
Lenovo IdeaPad 3 Core i5 12th Gen,4.2,62490,76890,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/c/3/-original-imagg56h9gat842s.jpeg?q=70,Lenovo
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,0.0,63990,95090,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/d/n/14alc7-thin-and-light-laptop-lenovo-original-imaggujj83hzvnqc.jpeg?q=70,Lenovo
HP Victus Ryzen 7 Octa Core 5800H,0.0,68990,86547,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/s/o/f/16-e0650ax-gaming-laptop-hp-original-imagkzqetd9hbwru.jpeg?q=70,HP
ASUS VivoBook Flip 14 Core i3 11th Gen,4.0,49990,67990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kkyc9zk0/computer/j/z/b/na-2-in-1-laptop-asus-original-imagy6zh6zq2npfx.jpeg?q=70,ASUS
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,4.3,40990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/s/m/asus-original-imaftndw8zg398np.jpeg?q=70,ASUS
DELL Inspiron Core i5 11th Gen,4.2,49890,90783,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ko8xtow0/computer/j/q/r/na-thin-and-light-laptop-dell-original-imag2qm3x6zhexrf.jpeg?q=70,DELL
DELL Inspiron Core i3 11th Gen,3.7,39690,51493,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/v/h/r/-original-imagf35ecakxcshj.jpeg?q=70,DELL
acer Aspire Vero (Green PC) Core i5 11th Gen,0.0,54990,79999,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1fc0i80/computer/f/g/i/-original-imagczgsyzray43g.jpeg?q=70,acer
ASUS Vivobook 15 Core i3 11th Gen,4.4,39990,56990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ksyz8280/computer/s/r/z/vivobook15-thin-and-light-laptop-asus-original-imag6eyabh3w846p.jpeg?q=70,ASUS
HP G8 Core i3 11th Gen,4.0,34690,45743,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/t/x/notebook-laptop-hp-original-imagjdywrx9g8yph.jpeg?q=70,HP
realme Book (Slim) Core i3 11th Gen,4.4,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB,realme
DELL Inspiron Core i5 11th Gen,3.7,57990,73171,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l45xea80/computer/v/c/x/inspiron-3511-thin-and-light-laptop-dell-original-imagf4n2y3uk8jcz.jpeg?q=70,DELL
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/1/w/14iil05-thin-and-light-laptop-lenovo-original-imagkwgzvknngbfu.jpeg?q=70,Lenovo
DELL Inspiron Core i3 11th Gen,4.3,61900,72600,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kqb8pzk0/computer/d/j/c/na-2-in-1-laptop-dell-original-imag4dy68bwtg8j9.jpeg?q=70,DELL
